model_type,fault_name,frequency,percentage
D155A-6R,coolant+decrease in quantity,92,17.73
D155A-6R,rail press low error,58,11.18
D155A-6R,coolant+overheat,54,10.4
D155A-6R,hydraulic pump oil pressure sensor+short circuit,26,5.01
D155A-6R,komtrax gps antenna cable+open circuit,26,5.01
D155A-6R,air cleaner element+clogging,22,4.24
D155A-6R,rail press very low error,20,3.85
D155A-6R,grid htr relay volt low error,18,3.47
D155A-6R,back alarm relay+open circuit,16,3.08
D155A-6R,battery relay+short circuit,16,3.08
D155A-6R,monitor controller can communicaton+malfunction,14,2.7
D155A-6R,power train controller+source voltage drop,14,2.7
D155A-6R,t/c oil+overheat,14,2.7
D155A-6R,alternator+defective function,12,2.31
D155A-6R,throttle sensor low error,12,2.31
D155A-6R,c/r eng cntrlr can communication+communication error (compo line),10,1.93
D155A-6R,"ecmv tm 2nd clutch+command curency on, fill signal off",10,1.93
D155A-6R,shift up switch+open circuit,8,1.54
D155A-6R,steering brake+miss operation or miss setting,8,1.54
D155A-6R,"ecmv tm 2nd clutch+command curency off, fill signal on",6,1.16
D155A-6R,komnet datalink timeout error,6,1.16
D155A-6R,chg air press sensor low error,4,0.77
D155A-6R,"ecmv tm 1st clutch+command curency on, fill signal off",4,0.77
D155A-6R,eng ne and bkup speed sens error,4,0.77
D155A-6R,forward & reverse potentiometer+analog signal doesnt match,4,0.77
D155A-6R,reverse fan pump solenoid valve+open circuit,4,0.77
D155A-6R,throttle sensor high error,4,0.77
D155A-6R,3rd clutch solenoid valve+short circuit,2,0.39
D155A-6R,brake angle sensor+open circuit,2,0.39
D155A-6R,chg air temp sensor high error,2,0.39
D155A-6R,"ecmv tm 3rd clutch+command curency on, fill signal off",2,0.39
D155A-6R,"ecmv tm r-clutch+command curency on, fill signal off",2,0.39
D155A-6R,eng bkup speed sensor error,2,0.39
D155A-6R,fan control solenoid valve+open circuit,2,0.39
D155A-6R,hydraulic oil+overheat,2,0.39
D155A-6R,imv/pcv1 open error,2,0.39
D155A-6R,"left steering brake+command curency on, fill signal off",2,0.39
D155A-6R,monitor controller can communicaton+communication error (compo line),2,0.39
D155A-6R,rail press sensor high error,2,0.39
D155A-6R,"right steering clutch+command curency on, fill signal off",2,0.39
D155A-6R,shift down switch+open circuit,2,0.39
D155A-6R,sudden stop prevent solenoid valve+open circuit,2,0.39
D155A-6R,traveling lock switch(2)+open circuit,2,0.39
D155A-6R,acc signal drive relay+open circuit,1,0.19
D21PL-8,komtrax gps antenna cable+open circuit,8,100.0
D31EX-22,komtrax gps antenna cable+open circuit,108,27.76
D31EX-22,water in fuel sensor high error,48,12.34
D31EX-22,chg air press sensor low error,26,6.68
D31EX-22,rail press low error,24,6.17
D31EX-22,eng ne speed sensor error,20,5.14
D31EX-22,chg air temp sensor high error,14,3.6
D31EX-22,rail press very low error,14,3.6
D31EX-22,air cleaner element+clogging,13,3.34
D31EX-22,alternator+defective function,12,3.08
D31EX-22,monitor controller can communicaton+malfunction,8,2.06
D31EX-22,brake pressure switch+open circuit,6,1.54
D31EX-22,brake pressure switch+short circuit,6,1.54
D31EX-22,hst controller+source voltage drop,6,1.54
D31EX-22,hst oil+low oil pressure,6,1.54
D31EX-22,hydraulic tank temperature sensor+open circuit,6,1.54
D31EX-22,inj #3(l#3) open/short error,6,1.54
D31EX-22,injectors drive circuit error,6,1.54
D31EX-22,monitor controller can communicaton+communication error (compo line),6,1.54
D31EX-22,st controller can communication+communication error (compo line),6,1.54
D31EX-22,throttle lever angle sensor+open circuit,6,1.54
D31EX-22,coolant+overheat,4,1.03
D31EX-22,engine oil+low oil pressure,4,1.03
D31EX-22,throttle sensor low error,4,1.03
D31EX-22,ambient press sens low error,2,0.51
D31EX-22,c/r eng cntrlr can communication+communication error (compo line),2,0.51
D31EX-22,chg air temp sensor low error,2,0.51
D31EX-22,coolant temp sens high error,2,0.51
D31EX-22,fan control solenoid valve+open circuit,2,0.51
D31EX-22,hst filter element+clogging,2,0.51
D31EX-22,hydraulic fan speed sensor+short circuit,2,0.51
D31EX-22,imv/pcv1 open error,2,0.51
D31EX-22,komnet datalink timeout error,2,0.51
D31EX-22,parking switch+open circuit,2,0.51
D31EX-22,rail press high error,2,0.51
D31EX-22,rail press sensor high error,2,0.51
D31EX-22,rail press very high error,2,0.51
D31EX-22,rh-pump reverse epc solenoid valve+open circuit,2,0.51
D31EX-22,safety relay+short circuit,2,0.51
D31PX-22,komtrax gps antenna cable+open circuit,48,23.19
D31PX-22,rail press low error,20,9.66
D31PX-22,water in fuel sensor high error,20,9.66
D31PX-22,ambient press sens low error,12,5.8
D31PX-22,rail press very low error,12,5.8
D31PX-22,air cleaner element+clogging,11,5.31
D31PX-22,brake pressure switch+short circuit,8,3.86
D31PX-22,hst oil+low oil pressure,8,3.86
D31PX-22,right hst motor speed sensor+short circuit,8,3.86
D31PX-22,shift down switch+open circuit,8,3.86
D31PX-22,alternator+defective function,6,2.9
D31PX-22,back-up alarm buzzer+short circuit,6,2.9
D31PX-22,coolant temp sens high error,6,2.9
D31PX-22,eng bkup speed sensor error,6,2.9
D31PX-22,eng ne speed sensor error,6,2.9
D31PX-22,eng oil press sw error,6,2.9
D31PX-22,throttle lever angle sensor+open circuit,6,2.9
D31PX-22,hydraulic tank temperature sensor+open circuit,4,1.93
D31PX-22,parking switch+stick,2,0.97
D31PX-22,throttle lever angle sensor+short circuit,2,0.97
D31PX-22,water in fuel sensor low error,2,0.97
D375A-5,high r cyl. exhaust temp.,83,14.21
D375A-5,very high r cyl. exhaust temp.,82,14.04
D375A-5,high f cyl. exhaust temp.,59,10.1
D375A-5,very high f cyl. exhaust temp.,43,7.36
D375A-5,exhaust temp. sensor f failure,32,5.48
D375A-5,fuel control dial sensor failure(eng),31,5.31
D375A-5,r steering clutch pressure abnormal,29,4.97
D375A-5,exhaust temp. sensor r failure,26,4.45
D375A-5,fsov mech stuck open,22,3.77
D375A-5,2nd clutch failure,18,3.08
D375A-5,t/m oil temp. overheat,18,3.08
D375A-5,high blowby pressure,14,2.4
D375A-5,eng.oil temp. sensor failure,13,2.23
D375A-5,low battery voltage,13,2.23
D375A-5,blowby pressure sensor failure,10,1.71
D375A-5,blade full raise ppc switch failure,8,1.37
D375A-5,high coolant temp,8,1.37
D375A-5,low coolant level,8,1.37
D375A-5,r steering brake pressure abnormal,7,1.2
D375A-5,battery charge trouble,6,1.03
D375A-5,fsov open cicuit,6,1.03
D375A-5,ripper lower ppc switch failure,6,1.03
D375A-5,abnormality in 24v source(s/t),4,0.68
D375A-5,blade r tilt ppc switch failure,4,0.68
D375A-5,pump pressure sensor failure(f),4,0.68
D375A-5,pump pressure sensor failure(r),4,0.68
D375A-5,remote throttle ckt failed low,4,0.68
D375A-5,remote throttle ckt failed high,3,0.51
D375A-5,abnormality in 12v source system(vhms),2,0.34
D375A-5,blade knob up switch failure,2,0.34
D375A-5,ecm software / hardware failure,2,0.34
D375A-5,fuel pump open circuit,2,0.34
D375A-5,fuel pump press ckt failed low,2,0.34
D375A-5,r steering brake abnormal,2,0.34
D375A-5,ripper tilt back ppc switch failure,2,0.34
D375A-5,ripper tilt in ppc switch failure,2,0.34
D375A-5,fuel pump mech stuck,1,0.17
D375A-5,lb boost ckt failed high,1,0.17
D375A-5,p/l clutch slip failure,1,0.17
D375A-6,very high rb cyl. exhaust temp.,194,13.59
D375A-6,high rb cyl. exhaust temp.,192,13.45
D375A-6,very high lb cyl. exhaust temp.,122,8.55
D375A-6,high lb cyl. exhaust temp.,111,7.78
D375A-6,1st clutch failure,103,7.22
D375A-6,l steering brake pressure abnormal,69,4.84
D375A-6,2nd clutch failure,68,4.77
D375A-6,low hydraulic oil level,63,4.41
D375A-6,r steering brake pressure abnormal,56,3.92
D375A-6,exhaust temp. sensor rb failure,55,3.85
D375A-6,fan pid control failure,52,3.64
D375A-6,exhaust temp. sensor lb failure,36,2.52
D375A-6,blowby pressure sensor failure,35,2.45
D375A-6,sampled_throttle_low_error,35,2.45
D375A-6,low coolant level,27,1.89
D375A-6,l/u clutch slip failure,26,1.82
D375A-6,t/m clutch slip failure,22,1.54
D375A-6,r steering clutch pressure abnormal,17,1.19
D375A-6,kom-net communication failure,15,1.05
D375A-6,k-net communication lost(monitor),14,0.98
D375A-6,coolant temp. overheat,10,0.7
D375A-6,fan reverse solenoid failure,10,0.7
D375A-6,fan speed sensor failure,10,0.7
D375A-6,high blowby pressure,8,0.56
D375A-6,air cleaner clogged,6,0.42
D375A-6,apc_diesel_low_prs_error,6,0.42
D375A-6,battery charge trouble,6,0.42
D375A-6,r clutch failure,6,0.42
D375A-6,blade knob up switch failure,5,0.35
D375A-6,brake pedal sensor failure,4,0.28
D375A-6,f clutch failure,4,0.28
D375A-6,fr lever sensor 1 2 failure,4,0.28
D375A-6,fuel control dial sensor failure(p/t),4,0.28
D375A-6,steering lever sensor 1 failure,4,0.28
D375A-6,steering lever sensor 2 failure,4,0.28
D375A-6,t/c in-pressure sensor failure,4,0.28
D375A-6,steering lever sensor 1 2 failure,3,0.21
D375A-6,fr lever sensor 1 failure,2,0.14
D375A-6,fr lever sensor 2 failure,2,0.14
D375A-6,hydraulic oil temperature sensor failure,2,0.14
D375A-6,injector_1_severe_1_error,2,0.14
D375A-6,injector_2_severe_1_error,2,0.14
D375A-6,injector_3_severe_1_error,2,0.14
D375A-6,n safety cut relay failure,2,0.14
D375A-6,work equipment lock switch failure,2,0.14
D375A-6,brake pedal abnormal use,1,0.07
D375A-6R,komtrax gps antenna cable+open circuit,48,100.0
D39EX-22,back-up alarm buzzer+short circuit,4,100.0
D39PX-22,water in fuel sensor high error,34,26.15
D39PX-22,komtrax gps antenna cable+open circuit,30,23.08
D39PX-22,air cleaner element+clogging,18,13.85
D39PX-22,slow brake solenoid valve+open circuit,8,6.15
D39PX-22,hydraulic tank temperature sensor+open circuit,6,4.62
D39PX-22,rail press low error,6,4.62
D39PX-22,coolant+overheat,4,3.08
D39PX-22,fan control solenoid valve+open circuit,4,3.08
D39PX-22,hst controller+source voltage drop,4,3.08
D39PX-22,left hst motor speed sensor+short circuit,4,3.08
D39PX-22,eng overspeed,2,1.54
D39PX-22,hydraulic fan speed sensor+open circuit,2,1.54
D39PX-22,hydraulic fan speed sensor+short circuit,2,1.54
D39PX-22,left hst motor speed sensor+defective function,2,1.54
D39PX-22,parking switch+stick,2,1.54
D39PX-22,rail press very low error,2,1.54
D65E-12,komtrax gps antenna cable+open circuit,14,100.0
D65P-12,komtrax gps antenna cable+open circuit,56,100.0
GD511A-1,komtrax gps antenna cable+open circuit,54,100.0
GD535-5,water in fuel sensor high error,198,22.07
GD535-5,tm shift lever+open circuit,78,8.7
GD535-5,rail press low error,66,7.36
GD535-5,komtrax operating lamp+open circuit,54,6.02
GD535-5,monitor cntrlr operating lamp+open circuit,54,6.02
GD535-5,t/m controller operating lamp+open circuit,54,6.02
GD535-5,t/m controller output power line+source voltage drop,42,4.68
GD535-5,rail press very low error,34,3.79
GD535-5,idle validation sw error,28,3.12
GD535-5,komtrax gps antenna cable+open circuit,28,3.12
GD535-5,water in fuel sensor low error,26,2.9
GD535-5,fuel level sensor+open circuit,18,2.01
GD535-5,rear accumulator+low oil pressure,16,1.78
GD535-5,t/m controller can communication+defective function,16,1.78
GD535-5,c/r eng cntrlr can communication 2+communication error (compo line),12,1.34
GD535-5,eng oil press sw error,12,1.34
GD535-5,coolant+overheat,10,1.11
GD535-5,front accumulator+low oil pressure,10,1.11
GD535-5,parking brake solenoid valve+open circuit,10,1.11
GD535-5,rpm set switch+short circuit,10,1.11
GD535-5,alternator+defective charging,9,1.0
GD535-5,"low clutch ,fill switch+open circuit",8,0.89
GD535-5,swing angle sensor+input signal out of scope,8,0.89
GD535-5,tm mount+overheat,8,0.89
GD535-5,ambient press sens low error,6,0.67
GD535-5,back lamp relay+open circuit,6,0.67
GD535-5,lock up solenoid valve+short circuit,6,0.67
GD535-5,monitor cntrlr battery direct line+source voltage drop,6,0.67
GD535-5,parking brake solenoid valve+short circut of power source line,6,0.67
GD535-5,parking brake switch+on/off signal doesnt match,6,0.67
GD535-5,reverse clutch fill switch+open circuit,6,0.67
GD535-5,chg air press sensor high error,4,0.45
GD535-5,rail press high error,4,0.45
GD535-5,t/c oil pressure sensor+input signal out of scope,4,0.45
GD535-5,tm controller can2+communication error (compo line),4,0.45
GD535-5,1st clutch fill switch+open circuit,2,0.22
GD535-5,2nd clutch solenoid valve+open circuit,2,0.22
GD535-5,chg air press sensor low error,2,0.22
GD535-5,chg air temp sensor high error,2,0.22
GD535-5,engine oil+low oil pressure,2,0.22
GD535-5,idle validation process error,2,0.22
GD535-5,inching pedal angle sensor+input signal out of scope,2,0.22
GD535-5,inj #1(l#1) open/short error,2,0.22
GD535-5,inj #5(l#5) open/short error,2,0.22
GD535-5,inj #6(l#6) open/short error,2,0.22
GD535-5,t/c oil pressure sensor+eng condition and signal not match,2,0.22
GD535-5,t/m intermediate shaft speed sensor+open circuit,2,0.22
GD535-5,tm shift controller+malfunction,2,0.22
GD535-5,transmission reverse clutch+slip,2,0.22
GD535-5,2nd clutch fill switch+open circuit,1,0.11
GD535-5,4th clutch fill switch+open circuit,1,0.11
GD705-5,water in fuel sensor high error,166,23.61
GD705-5,hydraulic fan speed sensor+deterioration,62,8.82
GD705-5,tm shift lever+open circuit,60,8.53
GD705-5,rail press low error,52,7.4
GD705-5,water in fuel sensor low error,44,6.26
GD705-5,fuel level sensor+open circuit,42,5.97
GD705-5,komtrax gps antenna cable+open circuit,36,5.12
GD705-5,swing angle sensor+input signal out of scope,32,4.55
GD705-5,alternator+defective function,16,2.28
GD705-5,fuel feed pump open error,16,2.28
GD705-5,hydraulic oil+overheat,16,2.28
GD705-5,c/r eng cntrlr can communication+communication error (compo line),12,1.71
GD705-5,t/m controller output power line+source voltage drop,12,1.71
GD705-5,grid htr relay volt low error,10,1.42
GD705-5,imv/pcv1 open error,10,1.42
GD705-5,rail press sensor high error,10,1.42
GD705-5,coolant+overheat,8,1.14
GD705-5,parking brake switch+on/off signal doesnt match,8,1.14
GD705-5,rail press sensor low error,8,1.14
GD705-5,rail press very low error,8,1.14
GD705-5,back lamp relay+open circuit,6,0.85
GD705-5,"low clutch ,fill switch+open circuit",6,0.85
GD705-5,2nd clutch fill switch+open circuit,5,0.71
GD705-5,eng bkup speed sensor error,4,0.57
GD705-5,fan pump epc solenoid valve+open circuit,4,0.57
GD705-5,hydraulic oil temperature sensor+short circuit,4,0.57
GD705-5,inj #5(l#5) open/short error,4,0.57
GD705-5,rail press high error,4,0.57
GD705-5,rail press very high error,4,0.57
GD705-5,t/m valve oil temperature sensor+input signal out of scope,4,0.57
GD705-5,1st clutch fill switch+open circuit,2,0.28
GD705-5,3rd clutch fill switch+open circuit,2,0.28
GD705-5,buzzer+short circuit,2,0.28
GD705-5,chg air press sensor low error,2,0.28
GD705-5,hydraulic fan speed sensor+open circuit,2,0.28
GD705-5,imv solenoid error,2,0.28
GD705-5,inj #6(l#6) open/short error,2,0.28
GD705-5,monitor cntrlr can communicaton 2+communication error (compo line),2,0.28
GD705-5,parking brake solenoid valve+open circuit,2,0.28
GD705-5,rpm set switch+short circuit,2,0.28
GD705-5,t/c oil pressure sensor+eng condition and signal not match,2,0.28
GD705-5,t/c oil+overheat,2,0.28
GD705-5,tm mount+overheat,2,0.28
GD705-5,tm shift controller+source voltage drop,2,0.28
GD705-5,transmission 2nd clutch+slip,2,0.28
GD755-5R,tm shift lever+open circuit,60,17.6
GD755-5R,tm mount+overheat,28,8.21
GD755-5R,hydraulic fan speed sensor+rotating speed signal doesnt match,26,7.62
GD755-5R,coolant+overheat,24,7.04
GD755-5R,komtrax gps antenna cable+open circuit,24,7.04
GD755-5R,3rd clutch fill switch+open circuit,16,4.69
GD755-5R,rear accumulator+low oil pressure,16,4.69
GD755-5R,reverse clutch fill switch+open circuit,16,4.69
GD755-5R,front accumulator+low oil pressure,12,3.52
GD755-5R,"ecmv tm h-clutch+command curency off, fill signal on",10,2.93
GD755-5R,parking brake switch+on/off signal doesnt match,10,2.93
GD755-5R,t/m controller output power line+source voltage drop,10,2.93
GD755-5R,2nd clutch fill switch+open circuit,9,2.64
GD755-5R,1st clutch fill switch+open circuit,8,2.35
GD755-5R,forward clutch fill switch+open circuit,8,2.35
GD755-5R,fan pump epc solenoid valve+short circuit,6,1.76
GD755-5R,grid htr relay volt low error,6,1.76
GD755-5R,idle validation sw error,6,1.76
GD755-5R,4th clutch solenoid valve+open circuit,4,1.17
GD755-5R,fan pump epc solenoid valve+open circuit,4,1.17
GD755-5R,fuel level sensor+open circuit,4,1.17
GD755-5R,hydraulic oil+overheat,4,1.17
GD755-5R,rail press low error,4,1.17
GD755-5R,rail press sensor high error,4,1.17
GD755-5R,rail press very low error,4,1.17
GD755-5R,inching pedal angle sensor+input signal out of scope,2,0.59
GD755-5R,parking brake solenoid valve+open circuit,2,0.59
GD755-5R,rail press sensor low error,2,0.59
GD755-5R,rail press very high error,2,0.59
GD755-5R,rpm set switch+short circuit,2,0.59
GD755-5R,swing angle sensor+input signal out of scope,2,0.59
GD755-5R,t/c oil+overheat,2,0.59
GD755-5R,t/m input shaft speed sensor+open circuit,2,0.59
GD755-5R,t/m input shaft speed sensor+rotating speed signal doesnt match,2,0.59
GD825A-2,komtrax gps antenna cable+open circuit,128,100.0
GD955-7R,grease+shortage,32,7.51
GD955-7R,steering angle sensor+analog signal doesnt match,20,4.69
GD955-7R,auto grease controller assy+on/off signal doesnt match,16,3.76
GD955-7R,emergency steering pressure sensor1+input signal out of scope,16,3.76
GD955-7R,eng exhaust temperature sensor(f)+short circut of power source line,16,3.76
GD955-7R,steering angle sensor+communication error (compo line),16,3.76
GD955-7R,air cleaner clogging sensor(1)+open circuit,14,3.29
GD955-7R,air cleaner element+clogging,14,3.29
GD955-7R,s/t vehicle speed sensor big error,14,3.29
GD955-7R,s/t cutoff sol error 2,12,2.82
GD955-7R,water in fuel sensor high error,12,2.82
GD955-7R,auto articulate centering return sw+open circuit,10,2.35
GD955-7R,auto grease level sensor+open circut or short circuit,8,1.88
GD955-7R,eng exhaust temperature sensor(r)+short circut of power source line,8,1.88
GD955-7R,engine oil+decrease in quantity,8,1.88
GD955-7R,"komtrax plus,ethernet comm 2+communication error (compo line)",8,1.88
GD955-7R,s/t eh spool error 1,8,1.88
GD955-7R,s/t safe state request,8,1.88
GD955-7R,s/t vehicle speed sensor error 2,8,1.88
GD955-7R,auto grease pressure sensor+open circuit,6,1.41
GD955-7R,forward & reverse switch+open circuit,6,1.41
GD955-7R,komtrax plus controller+malfunction,6,1.41
GD955-7R,steering angle sensor+defective function,6,1.41
GD955-7R,attachment1 lever potentiometer(sub+open circuit,4,0.94
GD955-7R,attachment1 lever potentiometer+open circuit,4,0.94
GD955-7R,blade float solenoid+open circuit,4,0.94
GD955-7R,blade folat cancel relay+open circuit,4,0.94
GD955-7R,blade shift lever potentio 1+open circuit,4,0.94
GD955-7R,blade shift lever potentio 2+open circuit,4,0.94
GD955-7R,blade tilt lever potentio 1+open circuit,4,0.94
GD955-7R,blade tilt lever potentio 2+open circuit,4,0.94
GD955-7R,c terminal signal+open circut or short circuit,4,0.94
GD955-7R,circle rotation lever potentio 1+open circuit,4,0.94
GD955-7R,circle rotation lever potentio 2+open circuit,4,0.94
GD955-7R,fan con.can1+communication error (compo line),4,0.94
GD955-7R,fan con.can2+communication error (compo line),4,0.94
GD955-7R,float solenoid valve+open circuit,4,0.94
GD955-7R,hydraulic fan speed sensor+rotating speed signal doesnt match,4,0.94
GD955-7R,joystick switch shift up/down+open circuit,4,0.94
GD955-7R,"komtrax plus,power source line+source voltage drop",4,0.94
GD955-7R,"komtrax plus,system operating lamp+open circuit",4,0.94
GD955-7R,lift lever potentiometer(sub)+open circuit,4,0.94
GD955-7R,lift lever potentiometer+open circuit,4,0.94
GD955-7R,monitor cntrlr operating lamp+open circuit,4,0.94
GD955-7R,parking brake switch+on/off signal doesnt match,4,0.94
GD955-7R,personal code relay+open circut or short circuit,4,0.94
GD955-7R,rail press low error,4,0.94
GD955-7R,rpm set switch+short circuit,4,0.94
GD955-7R,s/t cross check error 1,4,0.94
GD955-7R,s/t eh spool error 3,4,0.94
GD955-7R,swing angle sensor+analog signal doesnt match,4,0.94
GD955-7R,"t/m controller , power source line+open circuit",4,0.94
GD955-7R,t/m controller can communication+communication error (compo line),4,0.94
GD955-7R,tm controller can2+communication error (compo line),4,0.94
GD955-7R,tm shift controller+source voltage drop,4,0.94
GD955-7R,w-equip cntrlr can communication 2+communication error (compo line),4,0.94
GD955-7R,w-equip cntrlr can communication+communication error (compo line),4,0.94
GD955-7R,work equipment controller+source voltage drop,4,0.94
GD955-7R,engine exhaust gas(left)+abnormal generation of heat,2,0.47
GD955-7R,engine exhaust gas(right)+abnormal generation of heat,2,0.47
GD955-7R,engine exhaust gas(right)+overheat,2,0.47
GD955-7R,rail press very low error,2,0.47
GD955-7R,s/t cross check error 11,2,0.47
GD955-7R,w-equip cntrlr output power line+source voltage drop,2,0.47
GD955-7R,work equipment lever lock switch+short circut of power source line,2,0.47
HB205-1,g/p controller can communication+malfunction,4,22.22
HB205-1,monitor controller can communicaton+malfunction,4,22.22
HB205-1,travel neutral solenoid valve+open circuit,4,22.22
HB205-1,wind washer motor+open circuit,4,22.22
HB205-1,eng oil press sw error,2,11.11
HB365-1,engine oil+decrease in quantity,38,10.35
HB365-1,hb swing emergency stop switch+operation,20,5.45
HB365-1,ventilating sensor+open circuit,19,5.18
HB365-1,back-up alarm buzzer+short circuit,18,4.9
HB365-1,rail press low error,18,4.9
HB365-1,ventilation damper+malfunction,18,4.9
HB365-1,rail press very low error,16,4.36
HB365-1,water in fuel sensor high error,14,3.81
HB365-1,kvgt servo error,12,3.27
HB365-1,persistent data lost error,12,3.27
HB365-1,water in fuel sensor low error,12,3.27
HB365-1,air cleaner element+clogging,11,3.0
HB365-1,coolant+servicing,10,2.72
HB365-1,air cleaner clogging sensor(1)+open circuit,9,2.45
HB365-1,air mix damper+malfunction,8,2.18
HB365-1,egr valve solenoid open error,8,2.18
HB365-1,inner sensor+open circuit,8,2.18
HB365-1,refrigerant+input signal out of scope,8,2.18
HB365-1,2-stage relief solenoid valve+open circuit,7,1.91
HB365-1,2stage back pressure solenoid valve+open circuit,7,1.91
HB365-1,chg air press sensor low error,6,1.63
HB365-1,coolant+decrease in quantity,6,1.63
HB365-1,exh manifold press sens in range error,6,1.63
HB365-1,hyb swing-l ppc pressure sensor+analog signal doesnt match,6,1.63
HB365-1,hyb swing-r ppc pressure sensor+analog signal doesnt match,6,1.63
HB365-1,ambient press sens in range error,4,1.09
HB365-1,hyb dc line+open circut or short circuit,4,1.09
HB365-1,kvgt pos sens high error,4,1.09
HB365-1,wind washer motor+short circuit,4,1.09
HB365-1,alternator+defective charging,2,0.54
HB365-1,booster inductor+overheat,2,0.54
HB365-1,c/r eng cntrlr can communication 2+communication error (compo line),2,0.54
HB365-1,c/r eng cntrlr can communication+communication error (compo line),2,0.54
HB365-1,capacitor temperature sensor+open circut or short circuit,2,0.54
HB365-1,chg air temp sensor high error,2,0.54
HB365-1,dc before booster in general+over charge,2,0.54
HB365-1,egr orifice temp sens high error,2,0.54
HB365-1,exhaust manifold press sens low error,2,0.54
HB365-1,grid htr relay volt low error,2,0.54
HB365-1,hb swing brake solenoid supply line+short circuit,2,0.54
HB365-1,hyb swing motor resolver+defective function,2,0.54
HB365-1,hyb swing-r ppc pressure sensor+defective function,2,0.54
HB365-1,hyb swing-r ppc pressure sensor+open circut or short circuit,2,0.54
HB365-1,hybrid group+overheat,2,0.54
HB365-1,imv solenoid error,2,0.54
HB365-1,inj #5(l#5) open/short error,2,0.54
HB365-1,monitor cntrlr can communicaton 2+communication error (compo line),2,0.54
HB365-1,personal code relay+open circut or short circuit,2,0.54
HB365-1,power cable interlock+open circuit,2,0.54
HB365-1,pump press balance error,2,0.54
HB365-1,rail press valve trip error,2,0.54
HB365-1,sens supply 1 volt low error,2,0.54
HB365-1,swing motor driver sub-cpu+controller inside failure,2,0.54
HB365LC-1,air cleaner clogging sensor(1)+open circuit,9,40.91
HB365LC-1,air cleaner element+clogging,9,40.91
HB365LC-1,hb swing emergency stop switch+operation,4,18.18
HD1500-8,neutral coast caution+operation,28,23.53
HD1500-8,"komtrax plus,ethernet comm 2+communication error (compo line)",16,13.45
HD1500-8,neutral over speed caution+operation,16,13.45
HD1500-8,fan control circuit - voltage above normal or shorted to high source,12,10.08
HD1500-8,"intake manifold 2 pressure sensor circuit - voltage below normal, or shorted to low source",10,8.4
HD1500-8,air cleaner element+clogging,7,5.88
HD1500-8,eng overspeed,4,3.36
HD1500-8,exhaust gas temperature deviation low for cylinder 7 - data valid but below normal operating range - least severe level,4,3.36
HD1500-8,komtrax plus controller+malfunction,4,3.36
HD1500-8,remote cooling motor speed (rear)+rotating speed signal doesnt match,4,3.36
HD1500-8,coolant pressure sensor circuit - voltage below normal or shorted to low source,2,1.68
HD1500-8,engine oil rifle pressure - data valid but below normal operating range - most severe level,2,1.68
HD1500-8,exhaust gas temperature deviation low for cylinder 1 - data valid but below normal operating range - least severe level,2,1.68
HD1500-8,exhaust gas temperature deviation low for cylinder 3 - data valid but below normal operating range - least severe level,2,1.68
HD1500-8,fuel level sensor+open circuit,2,1.68
HD1500-8,t/c oil+overheat,2,1.68
HD1500-8,tm lube flow select v. pres. sensor+input signal out of scope,2,1.68
HD465-7,high f cyl. exhaust temp.2,181,12.86
HD465-7,high f cyl. exhaust temp.1,160,11.37
HD465-7,r exhaust temp. sensor failure,121,8.6
HD465-7,high r cyl. exhaust temp.1,120,8.53
HD465-7,high r cyl. exhaust temp.2,108,7.68
HD465-7,f exhaust temp. sensor failure,102,7.25
HD465-7,high blowby pressure,86,6.11
HD465-7,drop in accumulator oil pressure (rear),84,5.97
HD465-7,shift lever input signal short circuit,51,3.62
HD465-7,abnormality in suspension pressure sensor circuit (rl),46,3.27
HD465-7,abnormality in suspension pressure sensor circuit (rr),42,2.99
HD465-7,blowby pres. sensor failure,41,2.91
HD465-7,vhms 24v source sys error,40,2.84
HD465-7,rail press low error,34,2.42
HD465-7,drop in accumulator oil pressure (front),32,2.27
HD465-7,abnormality in steering angle potentiometer circuit,30,2.13
HD465-7,drop in engine oil level,21,1.49
HD465-7,brake cooling oil overheat (rear),19,1.35
HD465-7,alternator malfunction (r terminal: low voltage or abnormal),12,0.85
HD465-7,vhms 12v source sys error,9,0.64
HD465-7,manual retarder potentiometer & rvs abnormality,8,0.57
HD465-7,suspension pressure sensor (fl) (disconnect/short circuit),8,0.57
HD465-7,abnormality in steering oil temp. sensor circuit,7,0.5
HD465-7,suspension pressure sensor (fr) (hot short),7,0.5
HD465-7,fuel temp sensor low error,6,0.43
HD465-7,engine overrun prevention system activated,4,0.28
HD465-7,l clutch fill switch circuit disconnect,4,0.28
HD465-7,neutral over speed caution,4,0.28
HD465-7,vhms 5v source sys error,4,0.28
HD465-7,suspension pressure sensor (fr) (disconnect/short circuit),3,0.21
HD465-7,1st clutch fill switch circuit disconnect,2,0.14
HD465-7,2nd clutch fill switch circuit disconnect,2,0.14
HD465-7,abnormality in angle sensor circuit,2,0.14
HD465-7,abnormality in t/c input oil pressure sensor circuit,2,0.14
HD465-7,fuel tank level sensor circuit disconnection,2,0.14
HD465-7,neutral coast caution,2,0.14
HD465-7,t/c oil overheat,1,0.07
HD785-7,drop in accumulator oil pressure (rear),2452,12.82
HD785-7,drop in accumulator oil pressure (front),1979,10.35
HD785-7,very high rbr cyl. exhaust temp,1468,7.67
HD785-7,very high rbf cyl. exhaust temp,1343,7.02
HD785-7,high rbr cyl. exhaust temp,1195,6.25
