plan,account,model_type,total_fault_count,rank
TJR,MARINA BARA LESTARI,D31PX-22,2,22
TJR,MARINA BARA LESTARI,WA150-6,2,22
TJR,MARINA BARA LESTARI,WA500-6R,2,22
TRK,SINAR PERDANA SEJATI,HD785-7,2956,1
TRK,SINAR PERDANA SEJATI,PC210-10M0,283,2
TRK,SINAR PERDANA SEJATI,PC200-8M0,153,3
TRK,SINAR PERDANA SEJATI,PC400LC-8R,149,4
TRK,SINAR PERDANA SEJATI,PC200-10M0,121,5
TRK,SINAR PERDANA SEJATI,PC195LC-8,57,6
TRK,SINAR PERDANA SEJATI,GD955-7R,52,7
TRK,SINAR PERDANA SEJATI,HM400-3R,50,8
TRK,SINAR PERDANA SEJATI,PC135F-10M0,38,9
TRK,SINAR PERDANA SEJATI,PC300-8M0,35,10
TRK,SINAR PERDANA SEJATI,D375A-6,32,11
TRK,SINAR PERDANA SEJATI,PC200-8M1,28,12
TRK,SINAR PERDANA SEJATI,D31EX-22,24,13
TRK,SINAR PERDANA SEJATI,GD705-5,20,14
TRK,SINAR PERDANA SEJATI,GD535-5,18,15
TRK,SINAR PERDANA SEJATI,PC2000-8,14,16
TRK,SINAR PERDANA SEJATI,PC130F-7,12,17
TRK,SINAR PERDANA SEJATI,PC2000-11R,8,18
TRK,SINAR PERDANA SEJATI,PC300-8,8,18
TRK,SINAR PERDANA SEJATI,D155A-6R,6,19
TRK,SINAR PERDANA SEJATI,D375A-6R,6,19
TRK,SINAR PERDANA SEJATI,PC45MR-3,4,20
TRK,SINAR PERDANA SEJATI,WA380-6,2,21
UPG,QIRANI TRIDAYA KARYA,PC210-10M0,1554,1
UPG,QIRANI TRIDAYA KARYA,PC200-10M0,709,2
UPG,QIRANI TRIDAYA KARYA,HM400-3R,702,3
UPG,QIRANI TRIDAYA KARYA,PC300-8M0,427,4
UPG,QIRANI TRIDAYA KARYA,PC200-8M0,398,5
UPG,QIRANI TRIDAYA KARYA,PC195LC-8,161,6
UPG,QIRANI TRIDAYA KARYA,PC200-8M1,138,7
UPG,QIRANI TRIDAYA KARYA,GD535-5,78,8
UPG,QIRANI TRIDAYA KARYA,PC130F-7,50,9
UPG,QIRANI TRIDAYA KARYA,PC300-8M2,44,10
UPG,QIRANI TRIDAYA KARYA,PC400LC-8R,27,11
UPG,QIRANI TRIDAYA KARYA,GD705-5,20,12
UPG,QIRANI TRIDAYA KARYA,PC135F-10M0,20,12
UPG,QIRANI TRIDAYA KARYA,HB365-1,16,13
UPG,QIRANI TRIDAYA KARYA,PC500LC-10R,16,13
UPG,QIRANI TRIDAYA KARYA,PC1250-11R,14,14
UPG,QIRANI TRIDAYA KARYA,WA380Z-6,14,14
UPG,QIRANI TRIDAYA KARYA,D31PX-22,8,15
UPG,QIRANI TRIDAYA KARYA,D65P-12,8,15
UPG,QIRANI TRIDAYA KARYA,GD755-5R,8,15
UPG,QIRANI TRIDAYA KARYA,WA200-5,8,15
UPG,QIRANI TRIDAYA KARYA,D155A-6R,4,16
UPG,QIRANI TRIDAYA KARYA,PC300-8,2,17
UPG,QIRANI TRIDAYA KARYA,PC350LC-8M2,2,17
